,Description,Quantity,Unit_Price,Country,Invoice_Date,Number_Of_Visit,Customer_Gender,Customer_Age,Rating_Of_Product
0,Set Of 6 Ribbons Vintage Christmas,1.0,2.89,United Kingdom,10/18/2011 14:00,101.0,Male,36.0,2.0
1,Kings Choice Mug,12.0,1.25,United Kingdom,02/01/2011 10:38,110.0,Male,33.0,2.0
2,Round Snack Boxes Set Of4 Woodland,12.0,2.08,Germany,06/05/2011 13:45,116.0,Male,39.0,2.0
3,Vintage Donkey Tail Game,36.0,3.39,Netherlands,12/07/2011 15:16,107.0,Male,29.0,3.0
5,3D Sheet Of Dog Stickers,3.0,1.66,United Kingdom,06/27/2011 09:12,101.0,Male,38.0,2.0
6,Robot Birthday Card,12.0,2.08,United Kingdom,11/17/2011 13:00,106.0,Male,47.0,1.0
7,French Enamel Pot W Lid,2.0,5.79,United Kingdom,11/22/2011 15:43,105.0,Male,30.0,4.0
8,Lunch Bag Vintage Leaf Design,3.0,1.65,Germany,06/13/2011 10:52,101.0,Male,31.0,2.0
9,Lunch Bag Pink Polkadot,3.0,1.65,United Kingdom,05/16/2011 13:35,100.0,Male,45.0,2.0
11,Blue Polkadot Passport Cover,1.0,0.0,United Kingdom,12/07/2010 11:48,89.0,Male,48.0,2.0
12,Penny Farthing Birthday Card,12.0,0.42,United Kingdom,09/25/2011 12:34,119.0,Male,37.0,1.0
13,Magic Drawing Slate Spaceboy,3.0,0.42,United Kingdom,11/21/2011 11:57,106.0,Male,41.0,1.0
14,Ass Des Phone Sponge Craft Sticker,60.0,0.19,United Kingdom,01/05/2011 10:39,85.0,Male,36.0,1.0
15,Round Snack Boxes Set Of 4 Fruits,6.0,2.95,United Kingdom,12/01/2011 11:43,78.0,Male,39.0,2.0
16,Pack Of 12 London Tissues,12.0,2.08,United Kingdom,08/09/2011 16:17,107.0,Male,34.0,1.0
17,Set/6 Red Spotty Paper Plates,3.0,1.63,United Kingdom,02/07/2011 14:04,99.0,Male,38.0,2.0
18,Green Cat Floral Cushion Cover,1.0,2.08,United Kingdom,06/20/2011 09:41,95.0,Male,42.0,3.0
19,Hanging Jam Jar T-Light Holder,12.0,0.85,United Kingdom,04/20/2011 14:46,118.0,Male,30.0,1.0
20,Set/3 Red Gingham Rose Storage Box,3.0,7.46,United Kingdom,06/27/2011 09:12,89.0,Male,34.0,5.0
21,Origami Rose Incense In Tube,96.0,0.42,United Kingdom,04/21/2011 12:34,87.0,Male,29.0,1.0
22,Mini Jigsaw Dinosaur,1.0,0.83,United Kingdom,05/17/2011 16:09,86.0,Male,41.0,1.0
23,Vinyl Record Frame Silver,3.0,3.75,United Kingdom,12/12/2010 11:26,103.0,Male,33.0,3.0
24,Small Ivory Heart Wall Organiser,3.0,5.75,United Kingdom,09/15/2011 14:05,86.0,Male,32.0,4.0
25,Robot Birthday Card,24.0,0.42,United Kingdom,12/07/2011 13:46,99.0,Male,40.0,2.0
26,Jam Jar With Pink Lid,12.0,1.66,United Kingdom,12/17/2010 14:54,95.0,Male,39.0,2.0
27,Travel Card Wallet I Love London,24.0,0.42,United Kingdom,08/14/2011 12:03,92.0,Male,38.0,1.0
28,Chilli Lights,24.0,4.95,United Kingdom,03/11/2011 11:38,86.0,Male,39.0,4.0
29,Red Charlie+Lola Personal Doorsign,96.0,0.38,Eire,06/08/2011 10:45,96.0,Male,29.0,2.0
30,No Singing Metal Sign,12.0,2.1,United Kingdom,09/06/2011 11:58,105.0,Male,27.0,2.0
31,Union Stripe With Fringe  Hammock,1.0,16.63,United Kingdom,05/06/2011 16:01,91.0,Male,34.0,10.0
32,Jumbo Bag Owls,3.0,2.08,United Kingdom,12/06/2011 12:18,84.0,Male,33.0,2.0
33,Sketchbook Magnetic Shopping List,1.0,1.45,United Kingdom,09/11/2011 15:50,96.0,Male,31.0,1.0
34,Roll Wrap 50'S Christmas,12.0,1.25,United Kingdom,11/11/2011 17:11,90.0,Male,40.0,1.0
35,Feltcraft Princess Olivia Doll,4.0,3.75,United Kingdom,09/13/2011 14:30,106.0,Male,39.0,3.0
36,Set Of 4 Knick Knack Tins Poppies,3.0,8.29,United Kingdom,12/05/2011 17:24,93.0,Male,37.0,5.0
37,Pack Of 12 Coloured Pencils,12.0,0.85,United Kingdom,10/21/2011 12:44,108.0,Male,36.0,1.0
38,Columbian Candle Round,3.0,0.65,United Kingdom,11/20/2011 14:05,99.0,Male,40.0,1.0
39,Manual,1.0,1.25,United Kingdom,12/13/2010 12:26,89.0,Male,42.0,2.0
40,Set 3 Song Bird Paper Eggs Assorted,1.0,2.95,United Kingdom,02/27/2011 11:40,70.0,Male,36.0,2.0
41,Edwardian Heart Photo Frame,1.0,8.29,United Kingdom,09/12/2011 15:40,94.0,Male,25.0,2.0
42,Pack Of 20 Napkins Pantry Design,24.0,0.85,United Kingdom,07/19/2011 11:47,97.0,Male,31.0,1.0
43,Travel Card Wallet Retrospot,1.0,2.08,United Kingdom,03/30/2011 16:34,101.0,Male,36.0,1.0
44,White Metal Lantern,8.0,3.75,United Kingdom,09/19/2011 10:43,109.0,Male,37.0,3.0
45,Ribbon Reel Christmas Present,3.0,1.65,United Kingdom,10/05/2011 12:13,101.0,Male,32.0,2.0
46,Glass Apothecary Bottle Perfume,1.0,3.95,United Kingdom,10/26/2011 12:39,89.0,Male,34.0,3.0
47,Set Of 6 T-Lights Cacti,2.0,5.79,United Kingdom,12/05/2011 17:17,93.0,Male,36.0,4.0
48,Charlotte Bag Dolly Girl Design,2.0,0.85,United Kingdom,08/24/2011 14:23,96.0,Male,26.0,1.0
49,Plasters In Tin Woodland Animals,2.0,1.65,United Kingdom,02/13/2011 11:36,106.0,Male,27.0,1.0
50,Clothes Pegs Retrospot Pack 24,3.0,1.65,United Kingdom,10/17/2011 13:39,110.0,Male,27.0,2.0
51,Charlotte Bag Suki Design,85.0,2.46,United Kingdom,10/25/2011 14:39,112.0,Male,34.0,2.0
52,Wooden Star Christmas Scandinavian,24.0,0.29,United Kingdom,10/12/2011 11:55,106.0,Male,29.0,1.0
53,Doormat Spotty Home Sweet Home,1.0,2.08,United Kingdom,12/05/2011 14:40,96.0,Male,29.0,6.0
54,Mint Kitchen Scales,1.0,8.5,United Kingdom,12/05/2010 12:57,94.0,Male,24.0,2.0
55,Single Heart Zinc T-Light Holder,12.0,2.08,United Kingdom,07/11/2011 12:31,96.0,Male,39.0,1.0
56,Set Of 16 Vintage Red Cutlery,5.0,8.29,United Kingdom,01/17/2011 17:44,90.0,Male,22.0,6.0
58,Paper Chain Kit Vintage Christmas,24.0,2.95,United Kingdom,11/18/2011 14:25,114.0,Male,36.0,2.0
59,Wicker Star,6.0,2.1,United Kingdom,12/06/2010 10:19,96.0,Male,38.0,2.0
60,Airline Bag Vintage Tokyo 78,4.0,4.25,Switzerland,08/02/2011 10:34,99.0,Male,27.0,2.0
61,Paper Bunting Retrospot,2.0,2.95,United Kingdom,05/11/2011 12:59,93.0,Male,28.0,2.0
62,Small Purple Babushka Notebook,3.0,0.85,United Kingdom,11/07/2011 10:58,94.0,Male,27.0,1.0
63,Set 12 Colouring Pencils Doily,3.0,0.65,United Kingdom,11/29/2011 12:09,100.0,Male,36.0,1.0
64,Porcelain Rose Small,3.0,0.85,United Kingdom,10/26/2011 15:31,102.0,Male,30.0,1.0
65,Apple Bath Sponge,10.0,2.08,Hong Kong,01/24/2011 14:24,91.0,Male,36.0,1.0
66,House Shape Pencil Sharpener,7.0,0.83,United Kingdom,07/22/2011 09:20,96.0,Male,32.0,1.0
